0,1,2,3,4,5,6,7,8
1904,0,6,0,0,1,40,38,0
1,5487,0,17,0,89,0,1,0
7,1,527,0,0,0,0,95,0
0,34,0,885,0,0,0,0,0
0,0,0,0,403,0,0,0,0
1,114,0,0,1,1388,0,5,0
42,0,0,0,0,0,356,1,0
22,2,67,0,0,2,0,1012,0
1,0,0,0,0,0,0,0,283
