0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
600,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1118,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,592,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,415,3,0,0,0,0,0,0,0,0,0,0,0
0,0,2,2,797,1,0,0,0,1,0,0,0,0,0,0
0,1,0,0,1,1185,0,0,0,0,0,0,0,1,0,0
0,0,0,0,1,0,1072,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3139,3,12,0,0,0,2,225,0
0,0,0,0,0,0,0,1,1857,2,0,0,0,1,0,0
0,0,7,1,1,0,0,2,7,955,4,3,0,0,2,1
0,0,2,0,2,0,0,0,0,0,314,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,578,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,272,3,0,0
0,0,0,0,0,0,0,3,0,1,0,0,2,315,0,0
0,0,0,0,0,0,0,479,0,0,0,0,0,0,1700,2
0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,538
