dataset,model,overall_accuracy,average_accuracy,kappa,train_pixels,test_pixels
Pavia University,SVM + PCA,0.9541806280682615,0.9402038010594919,0.9391921668579982,29943,12833
Pavia University,RandomForest,0.9262058754772852,0.8978444168126892,0.9010860499082302,29943,12833
Salinas,RandomForest,0.9512285239238869,0.9747387631945783,0.9456275722008749,37890,16239
Salinas,SVM + PCA,0.9394051357842231,0.9730227533378816,0.932408147738976,37890,16239
