class_id,class_name,accuracy,test_pixels
1,Asphalt,0.9572649572649573,1989
2,Meadows,0.9806970509383378,5595
3,Gravel,0.8365079365079365,630
4,Trees,0.9630032644178455,919
5,Painted metal sheets,1.0,403
6,Bare Soil,0.9198144466534128,1509
7,Bitumen,0.8922305764411027,399
8,Self-Blocking Bricks,0.9158371040723982,1105
9,Shadows,0.9964788732394366,284
