0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
602,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1118,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,593,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,416,2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,800,0,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,1188,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,1073,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3077,0,7,0,0,0,0,297,0
0,0,0,0,0,0,0,1,1860,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,7,968,3,2,0,0,3,0
0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,578,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,272,3,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,320,0,0
0,0,0,0,0,0,0,652,0,0,0,0,0,0,1529,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,541
